name;number;languages
ledna;1;cs
leden;1;cs
january;1;en
tammikuu;1;fi
január;1;sk
januara;1;sk
januar;1;sk
januára;1;sk
února;2;cs
únor;2;cs
unor;2;cs
unora;2;cs
february;2;en
helmikuu;2;fi
február;2;sk
februara;2;sk
februar;2;sk
februára;2;sk
brezen;3;cs
března;3;cs
brezna;3;cs
březen;3;cs
march;3;en
maaliskuu;3;fi
marca;3;sk
marec;3;sk
dubna;4;cs
duben;4;cs
april;4;en+sk
huhtikuu;4;fi
apríla;4;sk
aprila;4;sk
apríl;4;sk
května;5;cs
květen;5;cs
kvetna;5;cs
kveten;5;cs
may;5;en
toukokuu;5;fi
mája;5;sk
máj;5;sk
maj;5;sk
maja;5;sk
červen;6;cs
cerven;6;cs
června;6;cs
cervna;6;cs
june;6;en
kesäkuu;6;fi
kesakuu;6;fi
júna;6;sk
juna;6;sk
jun;6;sk
jún;6;sk
července;7;cs
cervenec;7;cs
červenec;7;cs
cervence;7;cs
july;7;en
heinakuu;7;fi
heinäkuu;7;fi
júla;7;sk
jula;7;sk
jul;7;sk
júl;7;sk
srpen;8;cs
srpna;8;cs
august;8;en+sk
elokuu;8;fi
augusta;8;sk
zari;9;cs
září;9;cs
september;9;en+sk
syyskuu;9;fi
septembera;9;sk
rijen;10;cs
října;10;cs
říjen;10;cs
rijna;10;cs
october;10;en
lokakuu;10;fi
oktober;10;sk
oktobera;10;sk
októbera;10;sk
október;10;sk
listopad;11;cs
listopadu;11;cs
november;11;en+sk
marraskuu;11;fi
novembera;11;sk
prosinec;12;cs
prosince;12;cs
december;12;en+sk
joulukuu;12;fi
decembera;12;sk
